,0,1,2
,0.5,0.5,0.5
spec,0.0,0.0,0.05172413793103448
sens,0.9836065573770492,1.0,0.9032258064516129
balacc,0.4918032786885246,0.5,0.4774749721913237
mcc,-0.04391628750910588,0.0,-0.055421969481272794
ppv,0.8823529411764706,0.7448979591836735,0.8484848484848485
npv,0.0,0.0,0.08333333333333333
PRcurve,0.9107929959046503,0.8121157676647748,0.882376960786269
ROCcurve,0.5402151639344263,0.6186986301369863,0.5323339063606027
