,median,"(1st quartile, 3rd quartile)"
spec,0.27419354838709675,"(0.2661290322580645, 0.28225806451612906)"
sens,0.9835796387520526,"(0.9819376026272578, 0.986863711001642)"
balacc,0.6288865935695747,"(0.6237916468033264, 0.635381905821283)"
mcc,0.41013032131496574,"(0.3929275391741598, 0.4279124032778319)"
ppv,0.8693759071117562,"(0.867705893424795, 0.8712011577424024)"
npv,0.7763888888888889,"(0.75, 0.813953488372093)"
PRcurve,0.9099807890559277,"(0.9044372890909018, 0.9142253457325145)"
ROCcurve,0.7367941893108745,"(0.7273144101912178, 0.7455588881826368)"
