,median,"(1st quartile, 3rd quartile)"
spec,0.24,"(0.2, 0.32)"
sens,0.9918032786885246,"(0.9754098360655737, 1.0)"
balacc,0.6177049180327868,"(0.5904098360655738, 0.6431147540983606)"
mcc,0.38175418115658216,"(0.3280234865145162, 0.4536762197146535)"
ppv,0.8647669706180345,"(0.8571428571428571, 0.8743055555555556)"
npv,0.8333333333333334,"(0.6666666666666666, 1.0)"
PRcurve,0.9162256734454877,"(0.8953619630402517, 0.9292851497222469)"
ROCcurve,0.7402459016393443,"(0.709549180327869, 0.7750819672131147)"
